section,OID,Name,Type,Version,PublishingSet,Status,Domain,Repeating,Purpose,SASDatasetName,def_Structure,def_Class,def_StandardOID,def_ArchiveLocationID,def_CommentOID,ItemOID,OrderNumber,Mandatory,KeySequence,MethodOID,DataType,Length,SASFieldName,Label,Origin_Type,Origin_Source,CodeListOID,Description,FormalExpression_Context,FormalExpression,def_IsNonStandard,CodedValues_with_NCICodes,xlink_href,Title,Comment
Standard,STD.SDTMIG-3.3,SDTMIG,IG,3.3,,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,STD.CT.SDTM.2023,CDISC/NCI,CT,2023-06-30,SDTM,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,STD.RWDL-1.0,RWDL,IG,1.0,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommentDef,COM.MDV.MIXEDPRECISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFORMANCE NOTE: MHSTDTC and MHDTC contain values of mixed ISO 8601 precision across the two source datasets. TCGA-BRCA values are year-only (YYYY) for MHSTDTC and date-only (YYYY-MM-DD) for MHDTC. MIMIC-IV values are full datetimes (YYYY-MM-DDTHH:MM:SS) for both. Both columns are declared as DataType incompleteDatetime to accommodate both. Downstream analysis should account for this precision difference when comparing across studies.
CommentDef,COM.MHCAT.COMBINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MHCAT values differ by study: TCGA-BRCA uses 'TCGA-PATIENT'; MIMICIVBC uses 'MALIGNANCY HISTORY'. Both are sponsor-defined, non-CDISC-CT values. See codelist CL.MHCAT.COMBINED."
ItemGroupDef,IG.MH.COMBINED,MH,,,,,MH,Yes,Tabulation,MH,One record per medical history event per subject,EVENTS,STD.SDTMIG-3.3,LF.MH.COMBINED,COM.MDV.MIXEDPRECISION,,,,,,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.STUDYID,1,Yes,1,,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.DOMAIN,2,Yes,,,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.USUBJID,3,Yes,2,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHSEQ,4,Yes,3,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHTERM,5,Yes,,MT.COMBINED.MHTERM,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHDECOD,6,No,,MT.COMBINED.MHDECOD,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHCAT,7,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHEVDTYP,8,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHPRESP,9,No,,,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHOCCUR,10,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHSTAT,11,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHSTDTC,12,No,,MT.COMBINED.MHSTDTC,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHDTC,13,No,,MT.COMBINED.MHDTC,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHSTDY,14,No,,MT.MHSTDY.DAYSPLUS1,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHDY,15,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHSTRTPT,16,No,,MT.MHSTRTPT.CONDITIONAL,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.MHSTTPT,17,No,,MT.MHSTRTPT.CONDITIONAL,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.VISITNUM,18,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemRef,,,,,,,,,,,,,,,,IT.MH.COMBINED.VISIT,19,No,,MT.MIMIC.DIRECT,,,,,,,,,,,,,,,
ItemDef,IT.MH.COMBINED.STUDYID,STUDYID,,,,,,,,,,,,,,,,,,,text,9,STUDYID,Study Identifier,Protocol,Sponsor,,,,,,,,,
ItemDef,IT.MH.COMBINED.DOMAIN,DOMAIN,,,,,,,,,,,,,,,,,,,text,2,DOMAIN,Domain Abbreviation,Protocol,Sponsor,,,,,,,,,
ItemDef,IT.MH.COMBINED.USUBJID,USUBJID,,,,,,,,,,,,,,,,,,,text,18,USUBJID,Unique Subject Identifier,Assigned,Sponsor,,,,,,,,,
ItemDef,IT.MH.COMBINED.MHSEQ,MHSEQ,,,,,,,,,,,,,,,,,,,integer,2,MHSEQ,Sequence Number,Derived,Sponsor,,,,,,,,,
ItemDef,IT.MH.COMBINED.MHTERM,MHTERM,,,,,,,,,,,,,,,,,,,text,200,MHTERM,Verbatim History Term,Collected,Investigator,,,,,,,,,
ItemDef,IT.MH.COMBINED.MHDECOD,MHDECOD,,,,,,,,,,,,,,,,,,,text,200,MHDECOD,Dictionary-Derived Term,Derived,Sponsor,,,,,,,,,
